"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","sig"
"ZC513.1",131.964551700503,-3.30884051746656,0.158667189358024,-20.8539681761195,1.40291555093361e-96,9.65706940310515e-94,"both","FDR<0.05 & 
log2(FC)>=1"
"C31B8.8",660.585786003837,2.52793035736726,0.12190144346244,20.7374932204651,1.58998508999387e-95,1.05673698705317e-92,NA,"FDR<0.05 & 
log2(FC)>=1"
"F58B6.2",394.228549212591,-2.95136017336232,0.14461291226327,-20.4086905323456,1.39985005934597e-92,8.99357001461141e-90,"both","FDR<0.05 & 
log2(FC)>=1"
"C05D10.4",652.963722101998,-1.318653259008,0.06501585856339,-20.2820248497114,1.85342398544676e-91,1.1523514159839e-88,"both","FDR<0.05 & 
log2(FC)>=1"
"F44F4.6",138.020961663279,-5.60154929521751,0.277552531058211,-20.1819427618287,1.41090547088261e-90,8.49806001430983e-88,NA,"FDR<0.05 & 
log2(FC)>=1"
"ZK287.4",341.282999101097,-2.91255104899135,0.146147536081598,-19.928841272871,2.28798008501879e-88,1.33631903511067e-85,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"Y48E1B.10",839.062238442958,1.55864022093034,0.0784612714600306,19.8650900237365,8.16056877225437e-88,4.62608242695384e-85,"both","FDR<0.05 & 
log2(FC)>=1"
"F22B7.9",970.527576413127,1.75057147723552,0.0881589545934011,19.8569899712327,9.58879404784384e-88,5.28041189937549e-85,NA,"FDR<0.05 & 
log2(FC)>=1"
"C48B4.1",1550.755253727,1.27083383891322,0.0640321221322388,19.8468174502901,1.17405526639003e-87,6.28576144566705e-85,"both","FDR<0.05 & 
log2(FC)>=1"
"Y34B4A.10",888.012632487288,-2.83983278536626,0.145227539461429,-19.5543682410215,3.78666557053287e-85,1.97254573530948e-82,"both","FDR<0.05 & 
log2(FC)>=1"
"H23N18.1",1077.45508707466,3.13425451247002,0.160692350057891,19.504690244065,1.00162051963526e-84,5.08032470932896e-82,"both","FDR<0.05 & 
log2(FC)>=1"
"F20D1.3",3108.51934760204,0.922790883192188,0.0474234973619808,19.4585160210471,2.4682882974471e-84,1.21984073448706e-81,"both","FDR<0.05"
"D2089.4",564.816876172941,-1.8530929953818,0.0957603401678414,-19.3513618699959,1.98526548267056e-83,9.5660017282481e-81,"both","FDR<0.05 & 
log2(FC)>=1"
"F01D5.10",189.721824492362,-2.78260070261789,0.144126011963035,-19.3067210055848,4.71578357792788e-83,2.21687835807273e-80,"both","FDR<0.05 & 
log2(FC)>=1"
"F09D12.1",777.046421510491,3.51777768214821,0.182396661286641,19.2864148791624,6.98524717843363e-83,3.205563193265e-80,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"ZK381.5",211.231656740149,-2.20565538119436,0.114429598899116,-19.2752172725775,8.67354035638623e-83,3.88776318206949e-80,NA,"FDR<0.05 & 
log2(FC)>=1"
"B0507.1",330.421709813447,-2.07226159390039,0.107662116931246,-19.2478250750332,1.47214704270573e-82,6.44867320479777e-80,"both","FDR<0.05 & 
log2(FC)>=1"
"C16C8.2",818.633757690672,-2.28393471932528,0.118708242068844,-19.2399001073634,1.71538667321212e-82,7.34719171988675e-80,"both","FDR<0.05 & 
log2(FC)>=1"
"C06E7.4",519.909719040932,-2.14692357034229,0.112272616576769,-19.1224150269472,1.64319983357228e-81,6.88500730266785e-79,"both","FDR<0.05 & 
log2(FC)>=1"
"F41G3.10",665.799810767224,2.87313031234282,0.150753358568372,19.058482939468,5.58714537155322e-81,2.29120510407057e-78,"both","FDR<0.05 & 
log2(FC)>=1"
"C39E9.8",3109.68746824271,1.74945605584174,0.0920485988850101,19.0057869107515,1.52738181619872e-80,6.13307440112793e-78,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"F41C6.1",426.586050756604,-1.32817369034747,0.0699550090303513,-18.9861127710129,2.22179193767e-80,8.73935057278603e-78,NA,"FDR<0.05 & 
log2(FC)>=1"
"C27A2.12",257.463000727083,-2.53342140495895,0.134361351306968,-18.8552837576856,2.65908416557301e-79,1.02502376414508e-76,"both","FDR<0.05 & 
log2(FC)>=1"
"B0280.7",332.944222040657,-2.83842684967658,0.150866307886826,-18.8141864769824,5.77886920371017e-79,2.18395931435902e-76,"both","FDR<0.05 & 
log2(FC)>=1"
"Y53F4B.25",221.740657093143,-3.48556025789191,0.185301434554086,-18.8102173427833,6.22819142302077e-79,2.30850310552505e-76,"both","FDR<0.05 & 
log2(FC)>=1"
"M195.2",152.378813915074,-2.46220396424425,0.130965966170434,-18.8003344398653,7.50417335557883e-79,2.72897051425333e-76,"both","FDR<0.05 & 
log2(FC)>=1"
"F35B12.3",394.260781941698,3.30596546434105,0.176015938643149,18.7821937594158,1.05624537813598e-78,3.63537025324872e-76,"both","FDR<0.05 & 
log2(FC)>=1"
"T23F2.1",1819.17503563186,-1.9244811847587,0.10245343008688,-18.7839605089527,1.02167352770148e-78,3.63537025324872e-76,"hmg-4_N2","FDR<0.05 & 
log2(FC)>=1"
"Y11D7A.9",1185.57840830082,-2.69051198564248,0.143245276889772,-18.7825528635953,1.04912520924508e-78,3.63537025324872e-76,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"C30F8.3",156.091307756085,-2.88845889278713,0.154306982870011,-18.718912385322,3.47167527849635e-78,1.17391349680243e-75,"both","FDR<0.05 & 
log2(FC)>=1"
"C55A6.5",232.771480709467,2.58146608203224,0.138874484793642,18.588483592707,3.98279565517143e-77,1.32352419754783e-74,"both","FDR<0.05 & 
log2(FC)>=1"
"C41A3.2",172.579445481886,-2.0467719009388,0.110570793454313,-18.5109633113424,1.68460952531536e-76,5.50324813405563e-74,"both","FDR<0.05 & 
log2(FC)>=1"
"B0334.1",4099.53486255372,0.985567744837071,0.0534899702561747,18.4252812278074,8.23615532148342e-76,2.64572762777119e-73,"both","FDR<0.05"
"C14C11.8",737.391935464124,-2.91814593274424,0.158395992296914,-18.4231045901348,8.5741674192203e-76,2.70915578423036e-73,"both","FDR<0.05 & 
log2(FC)>=1"
"Y70G10A.3",587.889539240204,1.95698096471504,0.107541525865327,18.1974446518989,5.40719826301568e-74,1.6809409567962e-71,"both","FDR<0.05 & 
log2(FC)>=1"
"Y38C1BA.3",9156.17711649383,-3.09638587621309,0.170262164141761,-18.1859891880326,6.6642111649034e-74,2.03882549194203e-71,"both","FDR<0.05 & 
log2(FC)>=1"
"F02D8.2",99.126623771133,-2.70987580084099,0.149585486519385,-18.1159005722778,2.38733920446496e-73,7.18962122294649e-71,"both","FDR<0.05 & 
log2(FC)>=1"
"ZC247.2",483.669344728084,-1.34953976033449,0.0745815779962352,-18.0948137139524,3.50125760086503e-73,1.03820367690881e-70,NA,"FDR<0.05 & 
log2(FC)>=1"
"F17C11.11",1579.31494142773,2.22099221732384,0.122810768777699,18.0846699310554,4.20880182092e-73,1.22909767115776e-70,NA,"FDR<0.05 & 
log2(FC)>=1"
"W06B11.4",298.802200446381,-2.14836862307149,0.118811654148715,-18.0821371309451,4.40666809047495e-73,1.26767344441514e-70,"both","FDR<0.05 & 
log2(FC)>=1"
"E04F6.6",720.215360610947,1.94095327665958,0.107367848386169,18.0776024278569,4.78437315186472e-73,1.35608835483883e-70,"both","FDR<0.05 & 
log2(FC)>=1"
"C06B3.6",1158.2941362894,2.34131105195132,0.129535868550952,18.0746157658285,5.05059709568544e-73,1.41080012206147e-70,NA,"FDR<0.05 & 
log2(FC)>=1"
"F49E11.10",1432.20535562852,1.92484964766411,0.107057502439797,17.9795867061866,2.81583648938896e-72,7.75320464235468e-70,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"T07H6.3",21696.7159619122,3.59524134170666,0.202358845710064,17.7666626289115,1.28088025604015e-70,3.47713888097436e-68,"both","FDR<0.05 & 
log2(FC)>=1"
"F52D1.3",1004.0637174147,-2.91310416428516,0.16435990620743,-17.7239342094093,2.74057818511946e-70,7.33637554722119e-68,"both","FDR<0.05 & 
log2(FC)>=1"
"T01B7.13",199.175450117483,-2.95589126232907,0.167770124479594,-17.6186986300329,1.77030647279059e-69,4.67409410363915e-67,"both","FDR<0.05 & 
log2(FC)>=1"
"C02C2.1",1032.1341975572,3.25560188655136,0.184813792508529,17.6155785905488,1.87066658018507e-69,4.8723280630388e-67,"both","FDR<0.05 & 
log2(FC)>=1"
"F58G1.5",459.289629542546,-3.4541281709251,0.197367361234351,-17.5010100419984,1.40750893705811e-68,3.61711030038106e-66,"both","FDR<0.05 & 
log2(FC)>=1"
"F58F6.1",9681.2632172498,-2.73896711966599,0.156647337848935,-17.4849260592436,1.86654955325509e-68,4.73366790650508e-66,"both","FDR<0.05 & 
log2(FC)>=1"
"ZC443.4",546.013996520071,1.52955140813277,0.087566519375123,17.4673084992722,2.54207254176358e-68,6.36310469739627e-66,"both","FDR<0.05 & 
log2(FC)>=1"
"F15A4.6",685.796136193354,1.57435766604413,0.0913137618888269,17.2411872370442,1.30332506901336e-66,3.22054966412353e-64,"both","FDR<0.05 & 
log2(FC)>=1"
"C25G4.10",769.904490960913,1.62256422660941,0.0946062477131201,17.1507090264229,6.20902558710545e-66,1.51484505273254e-63,"both","FDR<0.05 & 
log2(FC)>=1"
"K05G3.3",2216.4642296622,0.781170925369733,0.0458000365975638,17.0561201126046,3.14780546053318e-65,7.58385030578956e-63,"both","FDR<0.05"
"C53B4.7",2496.8056116856,-0.943695705387755,0.0555209361660515,-16.997114432029,8.62629127719862e-65,2.05263133428057e-62,NA,"FDR<0.05"
"C30B5.6",742.705920972849,-2.72002625924458,0.160343926515511,-16.9636999564275,1.52436111465143e-64,3.58299221021848e-62,"both","FDR<0.05 & 
log2(FC)>=1"
"ZK930.2",125.615828440413,-2.6873611906395,0.158660354670367,-16.9378241730441,2.36719499932338e-64,5.4970260743324e-62,"both","FDR<0.05 & 
log2(FC)>=1"
"F52B10.1",7390.23015899814,-1.38808578286096,0.0820719613385485,-16.9130329070008,3.60659168408845e-64,8.27541049037152e-62,"both","FDR<0.05 & 
log2(FC)>=1"
"F40E10.5",628.471636320527,-2.98826466735994,0.177249865786501,-16.859051791663,9.00216718301223e-64,2.04126788571033e-61,"both","FDR<0.05 & 
log2(FC)>=1"
"Y42A5A.2",814.240193690786,-1.6785527327352,0.0997199964970979,-16.8326593632005,1.40640828892204e-63,3.15198992566086e-61,"both","FDR<0.05 & 
log2(FC)>=1"
"C50D2.1",756.116619530839,-3.29289953543833,0.195801081904927,-16.8175757937702,1.81432271329296e-63,4.01945470988604e-61,"both","FDR<0.05 & 
log2(FC)>=1"
"ZC123.3",995.767212501686,-1.00561298126686,0.0600401464020198,-16.7490094799807,5.7576973987092e-63,1.26106658707638e-60,NA,"FDR<0.05 & 
log2(FC)>=1"
"T28C6.4",398.686945666476,2.76549928790744,0.165509088487912,16.7090479028856,1.12619297743185e-62,2.4389037580923e-60,"both","FDR<0.05 & 
log2(FC)>=1"
"H23N18.5",1044.80178853205,-2.72469501784533,0.163108054853055,-16.7048464914871,1.20838573188964e-62,2.58782517738231e-60,"both","FDR<0.05 & 
log2(FC)>=1"
"C06E7.3",1755.9145220784,-1.03090124408629,0.0617269539530081,-16.7009900548649,1.28907945968197e-62,2.73029862702311e-60,"both","FDR<0.05 & 
log2(FC)>=1"
"C33F10.5",2227.87247340379,-1.12232971481387,0.0672799957619304,-16.681477192496,1.78743729275101e-62,3.74468112831337e-60,NA,"FDR<0.05 & 
log2(FC)>=1"
"T13H5.3",217.814357024856,-2.63890001920798,0.158400683900997,-16.6596504144978,2.57525266736277e-62,5.3371419258871e-60,"both","FDR<0.05 & 
log2(FC)>=1"
"C04F1.1",173.785672194171,-2.67104940165,0.160339054603307,-16.6587573330678,2.61399292210059e-62,5.35979782771988e-60,"both","FDR<0.05 & 
log2(FC)>=1"
"Y18H1A.9",434.173614995434,-1.97783122105298,0.11963685166202,-16.5319564463335,2.16016813351995e-61,4.382640063733e-59,"both","FDR<0.05 & 
log2(FC)>=1"
"C54G7.3",1153.41052154244,-2.79568565145484,0.169115221883185,-16.5312478694906,2.18571394312315e-61,4.3882760978912e-59,"both","FDR<0.05 & 
log2(FC)>=1"
"Y18D10A.7",183.618143744498,-2.73421342006508,0.166016324148235,-16.4695455949484,6.0724794620686e-61,1.20660792940114e-58,"both","FDR<0.05 & 
log2(FC)>=1"
"F01G12.5",33823.8702462313,-0.492919019079229,0.0299425820475489,-16.4621413843493,6.8628992663575e-61,1.34975020877321e-58,"both","FDR<0.05"
"F10C1.9",304.474753124156,2.18651346783044,0.133874120562688,16.332607516974,5.78577450640497e-60,1.1264143215803e-57,"both","FDR<0.05 & 
log2(FC)>=1"
"F26A10.2",606.140600138168,-3.20215890850732,0.196300134495086,-16.3125660445611,8.03453956913173e-60,1.54857715655445e-57,"both","FDR<0.05 & 
log2(FC)>=1"
"ZK1010.7",12517.6993796473,-2.75468466145866,0.16930995547365,-16.2700690207634,1.60976206731211e-59,3.07193604805679e-57,"both","FDR<0.05 & 
log2(FC)>=1"
"T21H8.1",1649.79256398062,-0.879002174877749,0.0542644042866396,-16.1985040918282,5.16687148878342e-59,9.76336088968741e-57,NA,"FDR<0.05"
"F40B5.3",69.6135139403636,-4.00034454776611,0.247086059901463,-16.1900859537014,5.92457598256889e-59,1.1086434707576e-56,"both","FDR<0.05 & 
log2(FC)>=1"
"R02F11.1",991.478340510243,-2.20970648972749,0.136625332057078,-16.1734757124275,7.75944792270374e-59,1.43803460829031e-56,"both","FDR<0.05 & 
log2(FC)>=1"
"K09H9.8",261.102347820856,1.83960257803177,0.114430079188055,16.076215196955,3.74575456425296e-58,6.87577842584871e-56,"both","FDR<0.05 & 
log2(FC)>=1"
"F48A11.1",681.986122584413,-2.47033580448249,0.153928930071638,-16.0485478807187,5.85171899226445e-58,1.06401916846137e-55,"both","FDR<0.05 & 
log2(FC)>=1"
"B0334.6",107.332839446936,-2.23037355382536,0.139338715454067,-16.0068473902402,1.14464566678823e-57,2.06185986744638e-55,NA,"FDR<0.05 & 
log2(FC)>=1"
"M02G9.1",499.666803641496,-2.64082503305416,0.16546030201195,-15.9604751166442,2.40890621569527e-57,4.29900540752877e-55,"both","FDR<0.05 & 
log2(FC)>=1"
"C44F1.3",3403.50317160014,1.1052490429248,0.0692867753402778,15.9518037532668,2.76785745124329e-57,4.89428298305166e-55,"both","FDR<0.05 & 
log2(FC)>=1"
"ZC21.3",1184.18507157805,2.76677344484731,0.173883781417375,15.9116245476982,5.26299169775216e-57,9.22171836204319e-55,"both","FDR<0.05 & 
log2(FC)>=1"
"F59F5.7",263.130322518749,-2.47457688119065,0.155673180894485,-15.8959742903173,6.75697030073142e-57,1.17327788807475e-54,"both","FDR<0.05 & 
log2(FC)>=1"
"ZC132.4",66.5244474269855,-3.16720123386629,0.199361514399188,-15.8867233899743,7.83155829702129e-57,1.34772727336418e-54,"both","FDR<0.05 & 
log2(FC)>=1"
"H17B01.2",72.2263090820784,-5.85881841663907,0.370308005809315,-15.8214738129534,2.21252226286549e-56,3.77381894641323e-54,"both","FDR<0.05 & 
log2(FC)>=1"
"E04F6.9",1299.10777502844,1.27943621619585,0.0810681697438092,15.7822264920882,4.12381066526684e-56,6.9721339265222e-54,NA,"FDR<0.05 & 
log2(FC)>=1"
"F15E6.2",2762.61822778632,-3.2504101345106,0.206717065655026,-15.7239564339355,1.03644423871804e-55,1.73708054409144e-53,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"T10B9.2",143.621006129861,3.59203248617997,0.228996092631696,15.6859990268794,1.88572766966247e-55,3.13323406078227e-53,"both","FDR<0.05 & 
log2(FC)>=1"
"F25H8.3",1310.1654142573,-1.17246309937202,0.0748080794797589,-15.6729474613669,2.31586023565561e-55,3.81503334889113e-53,NA,"FDR<0.05 & 
log2(FC)>=1"
"C08B6.3",221.655916829734,-1.7388983247865,0.11134392830843,-15.6173610110974,5.54537527703762e-55,9.05775958386636e-53,"both","FDR<0.05 & 
log2(FC)>=1"
"C12D12.2",4175.37227011075,0.954333408238926,0.0611138876687288,15.6156553713608,5.69568446286627e-55,9.22509431405752e-53,"both","FDR<0.05"
"C02B10.3",805.877976770871,-1.2661477589148,0.081136942609468,-15.6050711081028,6.7234777596712e-55,1.07990258616586e-52,NA,"FDR<0.05 & 
log2(FC)>=1"
"C37H5.14",91.2838649868994,-2.90526371500599,0.186853532797637,-15.5483477968405,1.63263475518688e-54,2.60061175797289e-52,"both","FDR<0.05 & 
log2(FC)>=1"
"C38C6.3",501.326891192731,-3.20418259160058,0.206217791080858,-15.5378572081796,1.92306617615997e-54,3.03812930158257e-52,"both","FDR<0.05 & 
log2(FC)>=1"
"ZK377.1",3275.06268515395,-3.39377646521741,0.218835943952774,-15.50831368886,3.04778523684169e-54,4.77585468738917e-52,"both","FDR<0.05 & 
log2(FC)>=1"
"T01D1.4",1498.928884575,-2.78907808173765,0.179957571539843,-15.4985314475648,3.54911836286191e-54,5.51658930046778e-52,"both","FDR<0.05 & 
log2(FC)>=1"
"T01B11.5",348.478230106478,3.29384906137256,0.21265596188334,15.4890981292099,4.11015682943273e-54,6.33753301843892e-52,"hmg-4_N2","FDR<0.05 & 
log2(FC)>=1"
"ZC513.2",95.3104016920395,-3.37450673993864,0.218527365644108,-15.4420327632299,8.53667844385902e-54,1.30584079624555e-51,"both","FDR<0.05 & 
log2(FC)>=1"
"T10E10.5",8458.09001209024,3.35975260999928,0.217850255451623,15.4223028246362,1.15896874576528e-53,1.75889477211654e-51,"both","FDR<0.05 & 
log2(FC)>=1"
"4R79.1",115.14338514274,-2.62555572038624,0.170472796045425,-15.4016111737067,1.59641570133293e-53,2.40385283027272e-51,"both","FDR<0.05 & 
log2(FC)>=1"
"F09E10.11",1466.42232766372,3.26480466688752,0.212316179132778,15.3770884546947,2.33200855368867e-53,3.48427386541049e-51,NA,"FDR<0.05 & 
log2(FC)>=1"
"F49E12.6",651.008399145305,-2.35991064318575,0.153554196063638,-15.3685845368089,2.65915357807557e-53,3.94250200490989e-51,"both","FDR<0.05 & 
log2(FC)>=1"
"F09E8.6",230.301977549468,-2.84925788233014,0.185551890841379,-15.355585272725,3.24963549438677e-53,4.78118126097791e-51,"both","FDR<0.05 & 
log2(FC)>=1"
"F40F8.7",1048.55506776547,1.06898869046544,0.0696219509538233,15.3541903928323,3.32028674027093e-53,4.84812171454409e-51,NA,"FDR<0.05 & 
log2(FC)>=1"
"F32A11.6",930.008320105682,-2.46393979251705,0.160750566187439,-15.3277207723427,4.9919742881599e-53,7.23423401729278e-51,"both","FDR<0.05 & 
log2(FC)>=1"
"C18D1.1",465.183484743354,-1.49876171172553,0.0981355133084803,-15.2723683934306,1.16850806763044e-52,1.68073317130665e-50,"both","FDR<0.05 & 
log2(FC)>=1"
"C42D4.2",175.041791596206,-2.71087659125886,0.177685203303556,-15.2566254300175,1.48744349681806e-52,2.12362858945713e-50,"both","FDR<0.05 & 
log2(FC)>=1"
"T01B7.7",6675.95461176549,-2.46565570473145,0.161679069507811,-15.2503086035656,1.63856853255959e-52,2.32218896298188e-50,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"T04F8.8",2310.8622596486,2.63861593707407,0.173061091330428,15.2467311790847,1.73083867643749e-52,2.43504997442746e-50,NA,"FDR<0.05 & 
log2(FC)>=1"
"T14G10.1",2144.51714983468,-1.75579401690847,0.115180598218262,-15.2438348477867,1.80931776143886e-52,2.5270138068096e-50,"both","FDR<0.05 & 
log2(FC)>=1"
"F54C9.11",322.095364589678,-1.53199586855818,0.101996344491249,-15.0201056341742,5.42212390743987e-51,7.51841843107885e-49,"both","FDR<0.05 & 
log2(FC)>=1"
"Y54E10BL.2",6873.61115350849,-3.00951448352525,0.200475013277534,-15.0119181154957,6.13476640290606e-51,8.44582054640082e-49,"both","FDR<0.05 & 
log2(FC)>=1"
"C27H2.2",473.556505050933,-1.21256218411282,0.0809173062149979,-14.9852020640805,9.17461150186851e-51,1.25412384458875e-48,NA,"FDR<0.05 & 
log2(FC)>=1"
"T06C12.8",86.2081875874893,-3.34595582274814,0.223785472734947,-14.9516221131615,1.5200105809764e-50,2.06314675617881e-48,"both","FDR<0.05 & 
log2(FC)>=1"
"ZC373.7",12627.7957004648,5.47975682440394,0.366845603268538,14.9375017052955,1.87888249108869e-50,2.53241826106597e-48,"hmg-4_N2","FDR<0.05 & 
log2(FC)>=1"
"Y38F1A.3",1744.07066939544,-3.26302691689557,0.219328095272386,-14.8773777150765,4.62265674137229e-50,6.1872976411951e-48,"both","FDR<0.05 & 
log2(FC)>=1"
"ZK180.6",5728.57677286824,-3.01253198337558,0.202515464055872,-14.8755651694058,4.74957261744223e-50,6.31332845714356e-48,"both","FDR<0.05 & 
log2(FC)>=1"
"C25H3.10",160.111685560752,4.43179822596382,0.299203537081571,14.8119847418635,1.22567092771551e-49,1.61805352471155e-47,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"T22H6.5",135.919288419649,3.19394210478792,0.215868188620327,14.7957979598628,1.55924138008029e-49,2.04440941222228e-47,"both","FDR<0.05 & 
log2(FC)>=1"
"ZC443.1",240.835053908052,2.41549807327955,0.163288877910935,14.7927899571768,1.63052522867312e-49,2.12342859847606e-47,NA,"FDR<0.05 & 
log2(FC)>=1"
"F39G3.2",88.0002607961523,-3.77147213242818,0.255192559929773,-14.7789266797828,2.00333213310211e-49,2.59142439821544e-47,"both","FDR<0.05 & 
log2(FC)>=1"
"ZK470.6",94.0946581139342,-2.64342027337829,0.178924813334328,-14.7739166195968,2.15799304378606e-49,2.77287719506216e-47,"both","FDR<0.05 & 
log2(FC)>=1"
"C56C10.4",189.431923959524,-1.78820650780925,0.121233538221576,-14.7500974898628,3.0722059915484e-49,3.92143697225853e-47,"both","FDR<0.05 & 
log2(FC)>=1"
"C27A2.4",106.526160869434,-2.78444594406829,0.188897489939063,-14.7405132009246,3.54083748802497e-49,4.48987511474955e-47,"both","FDR<0.05 & 
log2(FC)>=1"
"Y71F9B.13",389.128636607009,1.58638711520611,0.107881224432642,14.7049416944336,5.99225123141373e-49,7.54866994995217e-47,"both","FDR<0.05 & 
log2(FC)>=1"
"D1046.4",92.4934352688889,-2.40987552931413,0.163922705830631,-14.7012917893392,6.32416587760805e-49,7.9150631899362e-47,"both","FDR<0.05 & 
log2(FC)>=1"
"C44H4.1",109.329729226139,-2.62821685728095,0.179208484793728,-14.6656943185814,1.06917851051131e-48,1.32950623300612e-46,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"F46H5.3",56480.5410682773,0.571814796168673,0.0389994666872605,14.6621183503379,1.1270120358494e-48,1.39243781916419e-46,"both","FDR<0.05"
"C47E12.6",853.047793468359,-3.52480664596301,0.242539791614671,-14.5329004469624,7.49773054353101e-48,9.20453875770807e-46,"both","FDR<0.05 & 
log2(FC)>=1"
"C50D2.2",198.689065209475,-1.51039225741761,0.10402010942466,-14.5201948524344,9.02533255387947e-48,1.10097632685742e-45,"both","FDR<0.05 & 
log2(FC)>=1"
